,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,2.01,Travis Kelce,TE,KC,8,15.2,3.1,1.10,2.08,23,"

"
1,2,2.12,Mark Andrews,TE,BAL,10,25.8,3.1,2.06,3.06,22,"

"
2,3,3.09,George Kittle,TE,SF,9,37.1,4.4,3.05,4.09,19,"

"
3,4,3.10,Kyle Pitts,TE,ATL,14,38.0,6.0,3.03,5.02,37,"

"
4,5,4.04,Darren Waller,TE,LV,6,46.4,4.9,3.11,5.08,23,"

"
5,6,5.08,Dawson Knox,TE,BUF,7,63.6,8.1,5.02,7.01,7,"

"
6,7,5.11,Dallas Goedert,TE,PHI,7,67.4,7.8,5.04,7.07,16,"

"
7,8,6.04,Dalton Schultz,TE,DAL,9,73.5,9.4,5.04,8.11,36,"

"
8,9,7.03,T.J. Hockenson,TE,DET,6,86.9,8.8,6.11,9.06,15,"

"
9,10,8.03,Zach Ertz,TE,ARI,13,100.7,10.3,7.05,11.10,41,"

"
10,11,8.07,Pat Freiermuth,TE,PIT,9,104.8,14.2,6.06,11.03,17,"

"
11,12,9.03,Mike Gesicki,TE,MIA,11,114.6,5.6,9.05,11.01,14,"

"
12,13,9.07,Hunter Henry,TE,NE,10,119.4,12.3,8.08,12.07,18,"

"
13,14,10.05,Cole Kmet,TE,CHI,14,130.9,9.6,10.10,15.02,77,"

"
14,15,11.03,Robert Tonyan Jr.,TE,GB,14,142.9,25.8,7.12,17.12,21,"

"
15,16,11.12,Albert Okwuegbunam,TE,DEN,9,152.3,24.6,8.06,17.12,29,"

"
16,17,12.10,Irv Smith Jr.,TE,MIN,7,163.8,21.5,11.06,16.08,23,"

"
17,18,13.08,David Njoku,TE,CLE,9,175.9,23.4,10.01,18.01,23,"

"
18,19,13.10,Gerald Everett,TE,LAC,8,177.5,24.6,13.03,17.12,8,"

"
19,20,13.10,Tyler Higbee,TE,LAR,7,177.7,18.0,13.04,18.04,19,"

"
20,21,13.10,Kyle Rudolph,TE,TB,11,178.3,23.3,12.02,17.10,7,"

"
21,22,14.04,Hayden Hurst,TE,CIN,10,185.6,35.6,11.02,17.10,5,"

"
22,23,14.05,Cameron Brate,TE,TB,11,187.4,14.3,15.03,17.11,5,"

"
23,24,14.07,Austin Hooper,TE,TEN,6,189.0,11.3,15.08,18.03,5,"

"
24,25,15.03,Evan Engram,TE,JAX,11,198.8,10.9,15.10,18.05,8,"

"
