,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,1.01,Jonathan Taylor,RB,IND,14,1.3,0.5,1.01,1.02,27,"

"
1,2,1.03,Christian McCaffrey,RB,CAR,13,2.6,1.0,1.02,1.06,21,"

"
2,3,1.03,Derrick Henry,RB,TEN,6,3.2,1.8,1.01,1.06,19,"

"
3,4,1.05,Dalvin Cook,RB,MIN,7,5.4,1.5,1.03,1.09,32,"

"
4,5,2.01,Nick Chubb,RB,CLE,9,9.2,1.9,1.05,2.01,28,"

"
5,6,2.02,D'Andre Swift,RB,DET,6,9.9,2.0,1.06,2.01,21,"

"
6,7,2.02,Austin Ekeler,RB,LAC,8,10.3,18.7,1.03,10.12,38,"

"
7,8,2.04,Najee Harris,RB,PIT,9,11.5,17.6,1.04,9.08,31,"

"
8,9,2.06,Javonte Williams,RB,DEN,9,13.9,2.6,1.09,2.07,17,"

"
9,10,2.07,Aaron Jones,RB,GB,14,14.8,3.6,1.07,2.09,24,"

"
10,11,2.07,Alvin Kamara,RB,NO,14,14.9,3.4,1.08,2.07,48,"

"
11,12,3.03,Joe Mixon,RB,CIN,10,19.1,8.1,1.06,4.05,88,"

"
12,13,3.04,Saquon Barkley,RB,NYG,9,19.9,3.4,1.10,3.04,65,"

"
13,14,3.07,Leonard Fournette,RB,TB,11,22.9,3.3,2.05,3.06,40,"

"
14,15,3.08,Ezekiel Elliott,RB,DAL,9,23.8,2.8,2.06,3.05,27,"

"
15,16,4.05,David Montgomery,RB,CHI,14,28.6,4.2,2.08,3.11,11,"

"
16,17,4.08,Cam Akers,RB,LAR,7,31.9,6.0,2.08,4.03,36,"

"
17,18,5.01,James Conner,RB,ARI,13,33.1,4.8,2.05,4.05,55,"

"
18,19,5.02,Antonio Gibson,RB,WAS,14,33.7,6.9,2.06,4.07,11,"

"
19,20,5.03,J.K. Dobbins,RB,BAL,10,34.6,3.1,3.01,4.02,25,"

"
20,21,5.04,Elijah Mitchell,RB,SF,9,36.3,4.2,2.12,4.06,29,"

"
21,22,5.08,Josh Jacobs,RB,LV,6,40.4,3.0,3.09,4.09,15,"

"
22,23,6.03,Travis Etienne,RB,JAX,11,43.0,6.2,2.11,5.11,49,"

"
23,24,6.07,A.J. Dillon,RB,GB,14,47.0,3.8,3.12,5.09,68,"

"
24,25,6.08,Damien Harris,RB,NE,10,48.1,5.3,3.05,5.06,18,"

"
25,26,7.05,Breece Hall,RB,NYJ,10,52.5,8.4,2.10,6.07,70,"

"
26,27,7.06,Miles Sanders,RB,PHI,7,54.4,5.1,4.08,6.02,19,"

"
27,28,8.03,Kareem Hunt,RB,CLE,9,58.9,6.6,4.10,6.07,11,"

"
28,29,8.05,Rashaad Penny,RB,SEA,11,60.5,7.3,4.04,6.09,19,"

"
29,30,9.02,Tony Pollard,RB,DAL,9,66.2,4.9,5.09,7.03,13,"

"
30,31,10.02,Melvin Gordon,RB,DEN,9,74.1,4.0,6.07,7.09,22,"

"
31,32,10.04,Devin Singletary,RB,BUF,7,75.9,20.1,5.05,11.01,9,"

"
32,33,10.07,Chase Edmonds,RB,MIA,11,79.1,5.8,6.01,8.07,49,"

"
33,34,11.02,Clyde Edwards-Helaire,RB,KC,8,82.0,11.9,6.03,9.09,38,"

"
34,35,11.06,Rhamondre Stevenson,RB,NE,10,86.1,10.3,5.11,9.06,95,"

"
35,36,12.05,Ronald Jones II,RB,KC,8,93.2,5.2,8.03,9.06,6,"

"
36,37,12.05,James Robinson,RB,JAX,11,93.3,6.1,7.05,9.07,23,"

"
37,38,12.06,Kenneth Walker III,RB,SEA,11,94.2,7.1,6.10,9.10,46,"

"
38,39,13.02,Michael Carter,RB,NYJ,10,98.1,6.2,8.01,9.07,8,"

"
39,40,13.04,Raheem Mostert,RB,MIA,11,100.3,13.8,6.08,10.03,9,"

"
40,41,13.05,James Cook,RB,BUF,7,101.2,8.9,7.11,11.02,19,"

"
41,42,14.03,Darrell Henderson,RB,LAR,7,106.8,7.6,8.05,10.09,14,"

"
42,43,14.07,Marlon Mack,RB,HOU,6,110.7,5.4,9.08,10.12,6,"

"
43,44,14.07,Alexander Mattison,RB,MIN,7,111.0,34.8,8.05,15.10,6,"

"
44,45,15.04,Tyler Allgeier,RB,ATL,14,116.1,7.4,9.05,11.08,12,"

"
45,46,15.06,Nyheim Hines,RB,IND,14,117.5,9.7,8.12,11.12,18,"

"
46,47,15.06,Dameon Pierce,RB,HOU,6,118.2,17.5,5.11,15.02,87,"

"
47,48,16.01,Gus Edwards,RB,BAL,10,121.4,6.4,10.06,11.12,12,"

"
48,49,16.02,Mark Ingram,RB,NO,14,121.7,15.8,8.07,12.02,6,"

"
49,50,17.02,Trey Sermon,RB,SF,9,129.9,10.6,10.08,12.12,11,"

"
50,51,17.03,Jamaal Williams,RB,DET,6,130.8,4.9,11.01,12.05,12,"

"
51,52,17.03,Kenneth Gainwell,RB,PHI,7,130.8,16.5,8.11,15.07,57,"

"
52,53,17.06,J.D. McKissic,RB,WAS,14,134.3,6.4,11.08,13.04,7,"

"
53,54,18.03,Darrel Williams,RB,ARI,13,138.6,13.1,9.09,14.04,16,"

"
54,55,18.03,Chuba Hubbard,RB,CAR,13,138.8,23.8,10.06,14.06,4,"

"
55,56,18.03,Brian Robinson Jr.,RB,WAS,14,139.3,18.3,9.07,15.07,32,"

"
56,57,18.03,Isaiah Spiller,RB,LAC,8,139.4,19.6,7.07,14.05,34,"

"
57,58,18.06,Sony Michel,RB,MIA,11,141.7,7.2,11.08,13.03,6,"

"
58,59,19.03,Tyrion Davis-Price,RB,SF,9,147.4,10.6,12.01,14.06,7,"

"
59,60,19.07,Isaih Pacheco,RB,KC,8,150.9,23.1,10.11,17.11,32,"

"
60,61,20.01,Donta Foreman,RB,CAR,13,152.7,9.4,12.12,14.11,9,"

"
61,62,20.02,Rachaad White,RB,TB,11,154.1,24.1,11.11,18.05,15,"

"
62,63,20.08,Zamir White,RB,LV,6,160.4,5.9,13.06,15.04,9,"

"
63,64,21.08,Kenyan Drake,RB,LV,6,168.4,10.9,13.09,16.04,7,"

"
64,65,22.02,Jerick McKinnon,RB,KC,8,170.4,10.5,14.04,17.08,13,"

"
65,66,22.04,Samaje Perine,RB,CIN,10,172.4,11.2,13.11,16.06,5,"

"
66,67,23.02,D'Ernest Johnson,RB,CLE,9,177.6,10.8,14.07,18.01,13,"

"
67,68,23.08,Eno Benjamin,RB,FA,12,184.0,16.2,15.06,18.04,4,"

"
68,69,24.06,Mike Davis,RB,BAL,10,189.5,13.1,15.05,18.01,6,"

"
69,70,25.04,Damien Williams,RB,ATL,14,195.8,13.2,15.11,18.05,4,"

"
70,71,25.06,Giovani Bernard,RB,TB,11,198.0,7.4,16.10,18.04,4,"

"
