,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,9.03,San Francisco Defense,DEF,SF,98.5,7.5,6.02,10.08,381,"
"
1,2,9.12,Baltimore Defense,DEF,BAL,108.4,7.8,7.01,11.05,263,"
"
2,3,10.06,Buffalo Defense,DEF,BUF,113.5,7.8,7.01,11.07,259,"
"
3,4,10.07,Pittsburgh Defense,DEF,PIT,115.1,8.0,6.12,12.06,310,"
"
4,5,11.06,New England Defense,DEF,NE,126.3,7.3,9.01,14.02,178,"
"
5,6,11.09,Chicago Defense,DEF,CHI,129.4,7.7,10.03,13.09,160,"
"
6,7,12.05,LA Chargers Defense,DEF,LAC,137.4,8.9,9.06,15.05,131,"
"
7,8,12.12,Kansas City Defense,DEF,KC,143.5,10.7,9.04,15.05,161,"
"
8,9,13.11,Denver Defense,DEF,DEN,155.0,11.7,11.03,15.12,227,"
"
9,10,14.02,Minnesota Defense,DEF,MIN,157.8,12.4,7.01,15.12,308,"
"
10,11,14.09,Tampa Bay Defense,DEF,TB,165.4,10.3,9.01,15.12,248,"
"
11,12,14.10,New Orleans Defense,DEF,NO,165.6,10.8,11.04,15.12,242,"
"
12,13,14.10,Seattle Defense,DEF,SEA,165.7,18.5,7.01,15.12,64,"
"
13,14,14.10,Indianapolis Defense,DEF,IND,165.8,12.6,11.09,15.12,63,"
"
14,15,14.11,Dallas Defense,DEF,DAL,167.2,10.0,12.01,16.06,123,"
"
15,16,15.01,LA Rams Defense,DEF,LAR,169.1,13.4,10.01,18.02,74,"
"
16,17,15.04,Philadelphia Defense,DEF,PHI,171.9,8.3,13.05,17.10,105,"
"
