,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,8.02,Pittsburgh Defense,DEF,PIT,100.1,11.0,3.06,14.01,453,"
"
1,2,8.07,LA Rams Defense,DEF,LAR,105.4,10.5,3.09,11.09,445,"
"
2,3,9.02,Washington Defense,DEF,WAS,114.4,10.5,4.08,13.06,360,"
"
3,4,9.04,Tampa Bay Defense,DEF,TB,116.0,12.1,2.01,14.02,347,"
"
4,5,10.01,Baltimore Defense,DEF,BAL,126.7,10.0,7.11,14.04,365,"
"
5,6,10.06,San Francisco Defense,DEF,SF,131.5,12.2,3.08,14.03,315,"
"
6,7,10.12,Buffalo Defense,DEF,BUF,137.6,12.6,9.11,15.07,268,"
"
7,8,11.01,Indianapolis Defense,DEF,IND,141.0,12.5,10.01,15.08,155,"
"
8,9,11.09,New England Defense,DEF,NE,149.0,13.0,10.07,16.05,315,"
"
9,10,11.11,Denver Defense,DEF,DEN,150.5,17.1,7.08,15.11,263,"
"
10,11,12.05,Cleveland Defense,DEF,CLE,158.6,16.4,7.06,15.12,185,"
"
11,12,12.05,Chicago Defense,DEF,CHI,158.6,22.2,10.04,17.11,19,"
"
12,13,12.08,Minnesota Defense,DEF,MIN,161.9,15.7,12.07,15.12,36,"
"
13,14,12.10,Miami Defense,DEF,MIA,164.1,13.7,11.09,16.12,132,"
"
14,15,12.11,Carolina Defense,DEF,CAR,165.1,11.2,12.04,15.11,20,"
"
15,16,12.12,Kansas City Defense,DEF,KC,166.0,14.1,11.04,16.03,55,"
"
