,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,2.08,Rob Gronkowski,TE,NE,17.9,3.1,1.04,3.04,331,"
"
1,2,4.10,Travis Kelce,TE,KC,39.9,5.2,2.07,5.04,251,"
"
2,3,5.10,Greg Olsen,TE,CAR,50.4,4.9,3.06,6.02,208,"
"
3,4,6.03,Jordan Reed,TE,WAS,53.3,4.6,3.07,6.03,231,"
"
4,5,6.07,Jimmy Graham,TE,SEA,57.0,5.5,3.08,6.12,260,"
"
5,6,7.08,Tyler Eifert,TE,CIN,67.8,6.5,5.01,8.02,180,"
"
6,7,8.04,Martellus Bennett,TE,NE,74.4,8.9,3.09,9.09,155,"
"
7,8,8.09,Delanie Walker,TE,TEN,79.0,8.2,4.10,9.08,188,"
"
8,9,9.08,Zach Ertz,TE,PHI,87.8,11.0,6.02,11.04,217,"
"
9,10,9.09,Kyle Rudolph,TE,MIN,89.2,10.8,6.02,10.12,187,"
"
10,11,11.02,Hunter Henry,TE,LAC,102.3,15.3,6.01,12.09,247,"
"
11,12,13.05,Jack Doyle,TE,IND,124.5,14.8,7.02,13.08,287,"
"
12,13,14.10,Eric Ebron,TE,DET,140.1,20.5,8.07,15.12,303,"
"
13,14,15.07,O.J. Howard,TE,TB,147.2,20.7,8.06,15.10,163,"
"
14,15,15.08,Jason Witten,TE,DAL,148.1,25.3,5.06,15.12,111,"
"
15,16,16.01,Austin Hooper,TE,ATL,150.7,20.0,7.05,15.12,185,"
"
16,17,16.03,Charles Clay,TE,BUF,152.9,13.6,12.02,15.06,15,"
"
17,18,16.05,Cameron Brate,TE,TB,155.1,21.7,9.12,15.12,28,"
"
18,19,16.06,Julius Thomas,TE,MIA,156.5,19.6,8.05,15.12,93,"
"
19,20,17.01,Coby Fleener,TE,NO,161.2,16.0,10.10,15.12,75,"
"
20,21,17.02,Antonio Gates,TE,LAC,162.1,20.2,7.09,15.11,25,"
"
21,22,17.03,Evan Engram,TE,NYG,162.8,14.3,11.04,15.12,43,"
"
