,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,8.08,Jacksonville Defense,DEF,JAX,91.7,8.4,4.11,9.10,540,"
"
1,2,9.05,LA Rams Defense,DEF,LAR,101.3,7.6,7.02,11.02,297,"
"
2,3,9.12,Minnesota Defense,DEF,MIN,108.4,13.3,1.01,12.03,254,"
"
3,4,10.09,Philadelphia Defense,DEF,PHI,117.2,8.1,7.11,12.08,197,"
"
4,5,11.02,LA Chargers Defense,DEF,LAC,122.2,8.8,8.05,14.04,198,"
"
5,6,11.08,Houston Defense,DEF,HOU,128.4,7.5,9.10,13.04,173,"
"
6,7,11.10,Baltimore Defense,DEF,BAL,129.9,8.8,9.04,13.07,157,"
"
7,8,12.08,Denver Defense,DEF,DEN,139.7,10.2,10.01,14.12,183,"
"
8,9,13.01,New Orleans Defense,DEF,NO,145.5,11.5,11.01,15.12,199,"
"
9,10,14.03,Carolina Defense,DEF,CAR,158.7,11.6,10.11,15.12,266,"
"
10,11,14.05,Chicago Defense,DEF,CHI,160.7,12.8,11.05,17.10,158,"
"
11,12,14.07,Cleveland Defense,DEF,CLE,162.8,29.1,1.12,16.10,32,"
"
12,13,14.07,New England Defense,DEF,NE,162.8,11.8,7.10,15.12,288,"
"
13,14,14.08,Pittsburgh Defense,DEF,PIT,163.9,14.2,3.04,16.06,245,"
"
14,15,14.10,Kansas City Defense,DEF,KC,166.4,7.6,13.07,15.11,31,"
"
15,16,14.11,Atlanta Defense,DEF,ATL,166.5,8.6,13.01,16.12,121,"
"
16,17,14.11,Arizona Defense,DEF,ARI,167.4,10.9,12.03,16.02,75,"
"
17,18,15.03,Detroit Defense,DEF,DET,170.9,7.2,13.06,15.11,31,"
"
