,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.08,Davante Adams,WR,GB,8.0,1.8,1.01,2.03,645,"
"
1,2,1.12,Tyreek Hill,WR,KC,11.8,2.2,1.01,2.08,875,"
"
2,3,2.02,Stefon Diggs,WR,BUF,16.0,2.2,1.08,2.10,887,"
"
3,4,2.04,D.K. Metcalf,WR,SEA,18.2,2.4,1.07,2.12,678,"
"
4,5,2.07,DeAndre Hopkins,WR,ARI,20.8,2.9,1.11,3.06,936,"
"
5,6,2.07,Calvin Ridley,WR,ATL,20.9,2.8,1.03,3.07,969,"
"
6,7,2.10,A.J. Brown,WR,TEN,23.5,2.6,1.01,3.05,420,"
"
7,8,2.10,Justin Jefferson,WR,MIN,24.1,2.8,1.11,3.09,512,"
"
8,9,3.02,Keenan Allen,WR,LAC,29.7,3.2,2.05,4.02,750,"
"
9,10,3.03,Terry McLaurin,WR,WAS,31.0,2.9,1.12,4.02,597,"
"
10,11,3.04,CeeDee Lamb,WR,DAL,31.7,3.2,1.09,4.04,680,"
"
11,12,3.09,Mike Evans,WR,TB,37.4,4.1,2.12,5.08,899,"
"
12,13,3.10,Allen Robinson,WR,CHI,38.2,3.7,3.01,5.02,993,"
"
13,14,3.14,Robert Woods,WR,LAR,41.9,4.2,2.09,5.08,851,"
"
14,15,4.01,Julio Jones,WR,TEN,42.7,5.1,2.12,5.07,522,"
"
15,16,4.05,Adam Thielen,WR,MIN,46.9,4.8,3.08,6.01,517,"
"
16,17,4.05,Amari Cooper,WR,DAL,47.3,4.6,2.10,6.01,713,"
"
17,18,4.07,Chris Godwin,WR,TB,48.9,4.4,3.07,6.04,664,"
"
18,19,4.10,Cooper Kupp,WR,LAR,52.2,4.9,4.01,6.06,618,"
"
19,20,4.13,Tyler Lockett,WR,SEA,55.1,5.0,3.08,6.10,762,"
"
20,21,5.01,Brandon Aiyuk,WR,SF,56.9,4.5,4.02,6.12,493,"
"
21,22,5.02,Diontae Johnson,WR,PIT,58.5,5.5,4.01,6.10,547,"
"
22,23,5.05,Michael Thomas,WR,NO,61.0,5.9,3.08,7.06,415,"
"
23,24,5.08,D.J. Moore,WR,CAR,64.3,5.8,3.10,7.07,746,"
"
24,25,5.10,Chase Claypool,WR,PIT,66.0,6.3,1.12,7.09,441,"
"
25,26,5.10,Odell Beckham Jr,WR,LAR,66.4,5.6,4.07,8.01,540,"
"
26,27,5.13,Tee Higgins,WR,CIN,68.6,5.2,5.01,8.01,475,"
"
27,28,6.03,Jerry Jeudy,WR,DEN,73.0,6.3,3.11,8.02,706,"
"
28,29,6.03,Ja'Marr Chase,WR,CIN,73.3,6.2,5.03,8.05,302,"
"
29,30,6.09,Kenny Golladay,WR,NYG,78.8,6.5,4.12,8.11,436,"
"
30,31,6.11,DeVonta Smith,WR,PHI,81.2,5.8,5.08,9.01,579,"
"
31,32,6.12,Antonio Brown,WR,TB,81.7,7.2,3.09,9.05,653,"
"
32,33,6.13,Courtland Sutton,WR,DEN,83.4,5.7,5.12,9.08,537,"
"
33,34,7.04,JuJu Smith-Schuster,WR,PIT,88.1,7.3,3.05,9.10,484,"
"
34,35,7.05,Robby Anderson,WR,CAR,89.4,7.0,6.01,9.12,708,"
"
35,36,7.08,Deebo Samuel,WR,SF,92.0,7.3,3.08,9.10,348,"
"
36,37,7.10,D.J. Chark,WR,JAX,94.1,7.6,6.06,10.12,243,"
"
37,38,7.10,Michael Pittman Jr.,WR,IND,94.3,7.4,4.02,10.07,395,"
"
38,39,7.13,Laviska Shenault Jr.,WR,JAX,97.4,7.6,6.10,10.07,498,"
"
39,40,8.02,Tyler Boyd,WR,CIN,99.6,6.9,6.08,10.12,354,"
"
40,41,8.06,Mike Williams,WR,LAC,103.7,8.1,6.10,10.11,354,"
"
41,42,8.06,Mecole Hardman,WR,KC,104.5,7.4,7.02,11.02,331,"
"
42,43,8.11,Jaylen Waddle,WR,MIA,109.5,7.8,7.05,12.08,538,"
"
43,44,8.13,Jarvis Landry,WR,CLE,111.4,9.1,5.12,12.02,260,"
"
44,45,8.14,Marquez Callaway,WR,NO,112.4,12.5,1.12,13.02,590,"
"
45,46,9.01,Brandin Cooks,WR,HOU,113.2,9.7,7.06,12.03,366,"
"
46,47,9.02,Corey Davis,WR,NYJ,114.3,12.4,6.02,13.06,660,"
"
47,48,9.04,Will Fuller,WR,MIA,116.2,10.6,6.10,12.12,211,"
"
48,49,9.06,Darnell Mooney,WR,CHI,118.4,9.5,7.03,13.06,229,"
"
49,50,10.02,Marquise Brown,WR,BAL,127.6,8.7,8.05,13.08,220,"
"
50,51,10.07,Henry Ruggs III,WR,LV,132.6,9.5,9.07,13.06,305,"
"
51,52,10.08,Michael Gallup,WR,DAL,134.0,10.9,7.09,13.07,297,"
"
52,53,10.09,Marvin Jones,WR,JAX,135.1,11.3,8.08,13.09,269,"
"
53,54,10.11,Elijah Moore,WR,NYJ,137.1,11.5,7.10,15.01,162,"
"
54,55,10.12,Curtis Samuel,WR,WAS,138.0,10.5,9.06,15.01,140,"
"
55,56,11.06,Nelson Agholor,WR,NE,146.4,26.3,10.10,18.02,13,"
"
56,57,11.07,Jakobi Meyers,WR,NE,146.7,15.5,8.05,15.12,316,"
"
57,58,11.09,Bryan Edwards,WR,LV,149.3,15.8,7.03,15.10,136,"
"
58,59,11.10,Terrace Marshall Jr.,WR,CAR,150.3,28.1,8.01,15.11,45,"
"
59,60,11.11,DeVante Parker,WR,MIA,151.2,24.4,9.03,16.05,103,"
"
60,61,11.11,Emmanuel Sanders,WR,BUF,151.2,21.9,10.01,15.09,14,"
"
61,62,11.14,T.Y. Hilton,WR,IND,153.7,17.2,9.06,15.10,96,"
"
