,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,2.08,Aaron Rodgers,QB,GB,19.8,5.4,1.01,3.07,289,"
"
1,2,3.03,Tom Brady,QB,NE,27.4,4.8,1.06,4.03,291,"
"
2,3,4.02,Drew Brees,QB,NO,37.7,6.5,1.09,5.07,239,"
"
3,4,5.07,Matt Ryan,QB,ATL,54.6,7.9,3.01,6.11,192,"
"
4,5,6.03,Russell Wilson,QB,SEA,63.5,6.9,4.05,7.07,258,"
"
5,6,6.09,Derek Carr,QB,LV,69.4,6.9,5.01,8.04,200,"
"
6,7,7.04,Jameis Winston,QB,TB,76.4,8.0,5.09,8.12,208,"
"
7,8,7.04,Marcus Mariota,QB,TEN,76.4,8.0,5.01,8.12,263,"
"
8,9,7.09,Cam Newton,QB,CAR,81.4,9.7,1.03,9.08,235,"
"
9,10,7.12,Kirk Cousins,QB,WAS,84.3,7.2,6.07,9.08,201,"
"
10,11,9.01,Andrew Luck,QB,IND,96.6,9.0,6.06,10.06,227,"
"
11,12,9.03,Ben Roethlisberger,QB,PIT,99.3,10.1,6.03,11.01,272,"
"
12,13,9.06,Philip Rivers,QB,LAC,101.8,9.5,5.01,11.03,271,"
"
13,14,9.12,Dak Prescott,QB,DAL,108.2,11.7,4.12,11.09,222,"
"
14,15,10.06,Matthew Stafford,QB,DET,113.6,9.0,7.12,12.03,279,"
"
15,16,11.05,Andy Dalton,QB,CIN,125.1,8.5,8.11,12.09,205,"
"
16,17,11.09,Eli Manning,QB,NYG,128.9,8.5,9.03,13.04,164,"
"
17,18,12.01,Carson Wentz,QB,PHI,132.7,8.9,10.02,13.07,156,"
"
18,19,12.05,Carson Palmer,QB,ARI,137.2,7.5,10.01,13.08,131,"
"
19,20,13.07,Tyrod Taylor,QB,BUF,150.9,10.2,10.12,15.07,73,"
"
20,21,14.01,Jay Cutler,QB,MIA,156.7,12.3,10.06,15.12,104,"
"
21,22,14.05,Alex Smith,QB,KC,160.7,13.1,12.11,15.11,15,"
"
22,23,14.05,Deshaun Watson,QB,HOU,161.1,17.9,10.01,15.12,25,"
"
23,24,14.06,Sam Bradford,QB,MIN,162.4,12.8,12.03,15.12,47,"
"
