,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.04,Antonio Brown,WR,PIT,3.7,1.0,1.01,1.07,338,"
"
1,2,1.06,Julio Jones,WR,ATL,5.7,3.2,1.01,2.03,131,"
"
2,3,1.06,Odell Beckham Jr,WR,NYG,6.4,1.6,1.02,1.12,310,"
"
3,4,1.08,Mike Evans,WR,TB,7.9,2.2,1.03,2.03,305,"
"
4,5,2.02,A.J. Green,WR,CIN,10.0,2.2,1.05,2.08,287,"
"
5,6,2.03,Jordy Nelson,WR,GB,11.4,2.4,1.02,2.08,295,"
"
6,7,2.05,Michael Thomas,WR,NO,13.3,2.2,1.05,2.08,269,"
"
7,8,3.01,Brandin Cooks,WR,NE,17.1,3.2,1.02,3.01,237,"
"
8,9,3.04,Dez Bryant,WR,DAL,20.5,3.3,1.11,3.06,270,"
"
9,10,3.05,Amari Cooper,WR,LV,21.3,3.2,1.12,3.08,287,"
"
10,11,3.06,Doug Baldwin,WR,SEA,22.4,3.1,2.01,3.08,295,"
"
11,12,4.02,Keenan Allen,WR,LAC,25.8,3.3,2.03,3.12,272,"
"
12,13,4.05,T.Y. Hilton,WR,IND,28.8,3.6,2.07,4.07,205,"
"
13,14,4.06,Terrelle Pryor,WR,WAS,30.2,4.5,2.02,4.05,210,"
"
14,15,4.08,DeAndre Hopkins,WR,HOU,31.7,4.5,2.02,4.11,258,"
"
15,16,5.02,Demaryius Thomas,WR,DEN,34.5,4.0,2.11,4.09,264,"
"
16,17,5.07,Kelvin Benjamin,WR,BUF,38.6,5.0,2.10,5.03,251,"
"
17,18,5.07,Alshon Jeffery,WR,PHI,39.1,4.1,2.12,5.02,234,"
"
18,19,6.01,Martavis Bryant,WR,PIT,40.9,5.1,3.01,5.08,268,"
"
19,20,6.04,Michael Crabtree,WR,LV,43.7,4.7,2.11,5.09,234,"
"
20,21,6.05,Davante Adams,WR,GB,44.9,4.8,3.02,5.12,234,"
"
21,22,6.06,Tyreek Hill,WR,KC,45.5,5.5,2.11,5.11,248,"
"
22,23,6.08,Golden Tate,WR,DET,47.8,5.5,3.08,6.03,238,"
"
23,24,6.08,Larry Fitzgerald,WR,ARI,48.4,5.1,3.06,5.12,215,"
"
24,25,7.04,DeVante Parker,WR,MIA,51.9,4.9,3.08,6.05,300,"
"
25,26,7.07,Stefon Diggs,WR,MIN,54.8,5.9,3.02,7.04,237,"
"
26,27,8.01,Allen Robinson,WR,JAX,57.0,6.4,4.01,6.12,229,"
"
27,28,8.05,Jamison Crowder,WR,WAS,61.2,5.3,4.03,7.07,244,"
"
28,29,8.08,Jarvis Landry,WR,MIA,64.0,6.7,4.06,8.02,234,"
"
29,30,9.01,Brandon Marshall,WR,NYG,65.2,5.9,4.12,7.07,197,"
"
30,31,9.02,Pierre Garcon,WR,SF,66.4,6.1,5.01,8.06,288,"
"
31,32,9.06,Sammy Watkins,WR,LAR,70.0,7.1,4.08,8.10,234,"
"
32,33,10.02,Emmanuel Sanders,WR,DEN,73.9,6.7,5.09,9.01,254,"
"
33,34,10.05,Chris Hogan,WR,NE,76.5,7.6,5.07,8.12,238,"
"
34,35,11.03,Jeremy Maclin,WR,BAL,83.4,8.5,4.08,9.08,225,"
"
35,36,11.04,Willie Snead,WR,NO,83.8,9.2,6.05,9.09,122,"
"
36,37,12.01,Eric Decker,WR,TEN,88.7,8.5,6.02,10.02,222,"
"
37,38,12.02,DeSean Jackson,WR,TB,90.4,9.8,5.08,10.05,189,"
"
38,39,12.04,Randall Cobb,WR,GB,92.2,10.1,6.05,10.03,188,"
"
39,40,12.07,Tyrell Williams,WR,LAC,95.0,9.0,7.02,10.08,157,"
"
40,41,12.08,Corey Coleman,WR,CLE,96.4,9.2,6.11,10.07,187,"
"
41,42,13.03,Adam Thielen,WR,MIN,98.6,8.7,6.01,10.12,209,"
"
42,43,14.02,Donte Moncrief,WR,IND,105.7,8.7,7.11,11.01,111,"
"
43,44,14.02,Marvin Jones,WR,DET,106.3,7.0,7.12,11.01,124,"
"
44,45,14.05,John Brown,WR,ARI,108.6,7.5,7.11,11.07,160,"
"
45,46,14.07,Corey Davis,WR,TEN,110.9,9.4,7.01,11.12,112,"
"
46,47,15.04,Rishard Matthews,WR,TEN,116.0,10.5,8.02,12.08,104,"
"
47,48,15.05,Ted Ginn Jr,WR,NO,116.9,11.6,7.02,12.10,192,"
"
48,49,15.05,Jordan Matthews,WR,BUF,117.5,9.4,7.07,12.02,106,"
"
49,50,16.01,Cooper Kupp,WR,LAR,121.3,10.1,7.07,12.04,105,"
"
50,51,16.02,Zay Jones,WR,BUF,122.0,10.4,6.09,12.08,94,"
"
51,52,16.06,Mike Wallace,WR,BAL,125.9,9.7,8.06,12.09,86,"
"
52,53,16.07,Kevin White,WR,CHI,127.0,10.1,8.11,13.01,92,"
"
53,54,17.04,Danny Amendola,WR,NE,132.2,10.8,9.01,13.08,67,"
"
54,55,17.08,Kenny Britt,WR,NE,136.2,10.2,8.12,13.08,58,"
"
55,56,17.08,Cole Beasley,WR,DAL,136.2,12.3,9.01,14.05,70,"
"
56,57,18.07,Robby Anderson,WR,NYJ,143.4,13.8,7.02,14.11,68,"
"
57,58,19.04,Kendall Wright,WR,CHI,148.4,13.4,8.03,15.04,89,"
"
58,59,19.07,Taylor Gabriel,WR,ATL,151.4,15.2,8.03,15.08,59,"
"
59,60,19.08,Kenny Golladay,WR,DET,151.6,12.0,10.12,15.09,71,"
"
60,61,19.08,Sterling Shepard,WR,NYG,152.3,12.4,9.04,15.03,69,"
"
61,62,20.04,Tyler Lockett,WR,SEA,156.1,17.2,10.04,15.09,59,"
"
62,63,21.03,Mohamed Sanu,WR,ATL,162.9,15.5,10.09,15.12,45,"
"
