,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,3.06,Aaron Rodgers,QB,GB,30.5,6.0,1.02,4.12,551,"
"
1,2,4.06,Deshaun Watson,QB,HOU,42.4,7.1,2.01,6.06,406,"
"
2,3,5.04,Tom Brady,QB,NE,52.1,8.5,1.03,6.12,413,"
"
3,4,5.10,Russell Wilson,QB,SEA,57.9,7.5,1.01,7.03,396,"
"
4,5,6.05,Drew Brees,QB,NO,64.5,7.5,3.02,7.11,371,"
"
5,6,6.07,Cam Newton,QB,CAR,67.3,8.2,1.04,9.04,377,"
"
6,7,7.09,Carson Wentz,QB,PHI,81.4,9.9,4.09,9.10,277,"
"
7,8,7.10,Kirk Cousins,QB,MIN,82.1,9.1,4.11,10.02,347,"
"
8,9,8.02,Andrew Luck,QB,IND,86.5,9.9,3.01,10.06,374,"
"
9,10,8.12,Matthew Stafford,QB,DET,95.9,10.7,4.02,11.02,465,"
"
10,11,9.02,Jimmy Garoppolo,QB,SF,97.7,11.2,3.05,11.01,358,"
"
11,12,9.08,Philip Rivers,QB,LAC,104.4,9.2,7.01,11.07,558,"
"
12,13,10.02,Matt Ryan,QB,ATL,109.7,10.4,6.11,11.10,515,"
"
13,14,10.04,Ben Roethlisberger,QB,PIT,112.5,11.6,2.09,12.02,467,"
"
14,15,10.08,Patrick Mahomes,QB,KC,115.8,10.0,6.09,12.10,496,"
"
15,16,11.05,Jared Goff,QB,LAR,125.2,10.1,6.10,13.07,323,"
"
16,17,12.01,Marcus Mariota,QB,TEN,133.5,9.9,8.08,14.05,213,"
"
17,18,12.03,Alex Smith,QB,WAS,134.8,10.6,8.12,14.08,236,"
"
18,19,12.05,Derek Carr,QB,LV,137.1,12.0,8.03,15.02,188,"
"
19,20,13.08,Dak Prescott,QB,DAL,151.7,16.5,2.12,16.06,191,"
"
20,21,13.11,Jameis Winston,QB,TB,154.8,13.7,9.01,15.11,178,"
"
21,22,13.12,Eli Manning,QB,NYG,156.1,16.1,3.08,15.12,163,"
"
22,23,14.02,Tyrod Taylor,QB,CLE,158.4,32.3,1.11,16.03,36,"
"
23,24,14.03,Mitch Trubisky,QB,CHI,159.2,14.2,9.07,16.06,86,"
"
24,25,14.04,Andy Dalton,QB,CIN,160.4,15.1,10.05,15.12,68,"
"
25,26,14.08,Case Keenum,QB,DEN,164.4,12.3,11.12,16.09,44,"
"
26,27,14.10,Sam Darnold,QB,NYJ,165.5,12.6,11.12,15.12,21,"
"
