,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,11.06,Denver Defense,DEF,DEN,105.5,9.8,5.07,11.02,87,"
"
1,2,11.10,Seattle Defense,DEF,SEA,110.3,8.5,7.06,11.03,78,"
"
2,3,12.09,Houston Defense,DEF,HOU,119.4,6.8,9.02,11.12,88,"
"
3,4,13.04,Kansas City Defense,DEF,KC,123.9,7.5,9.05,12.09,76,"
"
4,5,13.08,New England Defense,DEF,NE,128.0,5.7,10.10,12.07,52,"
"
5,6,14.05,Arizona Defense,DEF,ARI,135.3,8.5,10.11,14.12,78,"
"
6,7,14.08,Minnesota Defense,DEF,MIN,138.1,10.6,10.01,14.08,62,"
"
7,8,14.09,NY Giants Defense,DEF,NYG,138.5,12.2,9.06,14.04,46,"
"
8,9,16.01,Pittsburgh Defense,DEF,PIT,150.8,12.3,11.07,15.11,57,"
"
9,10,17.01,Carolina Defense,DEF,CAR,161.5,11.6,11.05,15.12,105,"
"
10,11,17.02,Philadelphia Defense,DEF,PHI,161.6,10.8,11.09,15.12,78,"
"
11,12,17.05,Baltimore Defense,DEF,BAL,164.9,11.5,11.07,15.12,65,"
"
12,13,17.08,Atlanta Defense,DEF,ATL,168.2,9.2,12.03,15.12,68,"
"
