,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.06,Davante Adams,WR,GB,6.4,1.5,1.01,2.01,332,"
"
1,2,1.07,DeAndre Hopkins,WR,HOU,7.0,2.8,1.01,2.08,735,"
"
2,3,1.10,Julio Jones,WR,ATL,10.2,2.2,1.01,2.04,598,"
"
3,4,1.10,Michael Thomas,WR,NO,10.4,2.0,1.02,2.05,564,"
"
4,5,2.03,JuJu Smith-Schuster,WR,PIT,12.9,2.3,1.02,2.09,569,"
"
5,6,2.04,Tyreek Hill,WR,KC,13.9,2.6,1.01,2.09,474,"
"
6,7,2.05,Odell Beckham Jr,WR,CLE,15.1,2.5,1.05,2.09,571,"
"
7,8,2.10,Mike Evans,WR,TB,20.2,2.3,1.09,3.04,528,"
"
8,9,3.01,Antonio Brown,WR,NE,21.4,2.5,2.02,3.05,504,"
"
9,10,3.03,Adam Thielen,WR,MIN,22.9,2.5,1.12,3.09,440,"
"
10,11,3.05,Keenan Allen,WR,LAC,25.0,2.7,2.03,3.10,533,"
"
11,12,4.01,Stefon Diggs,WR,MIN,30.8,3.8,2.03,4.05,472,"
"
12,13,4.03,Amari Cooper,WR,DAL,33.1,4.3,2.03,4.08,555,"
"
13,14,4.06,Julian Edelman,WR,NE,36.1,4.2,2.03,4.10,570,"
"
14,15,4.09,Brandin Cooks,WR,LAR,39.1,3.8,2.12,4.11,484,"
"
15,16,4.10,Chris Godwin,WR,TB,39.9,3.9,2.11,5.01,465,"
"
16,17,5.02,Robert Woods,WR,LAR,42.2,3.9,2.05,5.07,512,"
"
17,18,5.03,Tyler Lockett,WR,SEA,42.9,3.7,2.07,5.06,469,"
"
18,19,5.05,Cooper Kupp,WR,LAR,45.2,3.7,3.01,5.08,382,"
"
19,20,5.07,Kenny Golladay,WR,DET,47.1,3.8,3.10,6.06,347,"
"
20,21,5.09,T.Y. Hilton,WR,IND,49.0,4.5,3.03,5.12,343,"
"
21,22,6.02,Tyler Boyd,WR,CIN,51.5,4.2,4.05,6.09,423,"
"
22,23,6.02,Josh Gordon,WR,SEA,52.1,4.8,2.12,6.07,434,"
"
23,24,6.04,Calvin Ridley,WR,ATL,53.5,5.2,4.01,6.08,346,"
"
24,25,6.10,Mike Williams,WR,LAC,60.3,5.9,4.09,7.05,464,"
"
25,26,7.03,Dede Westbrook,WR,JAX,62.7,6.1,4.06,7.07,580,"
"
26,27,7.04,A.J. Green,WR,CIN,63.8,6.4,4.01,7.09,356,"
"
27,28,7.05,Jarvis Landry,WR,CLE,64.8,6.9,4.02,8.03,420,"
"
28,29,7.07,D.J. Moore,WR,CAR,67.2,6.6,4.11,8.03,408,"
"
29,30,8.02,Alshon Jeffery,WR,PHI,71.9,6.9,4.12,8.10,392,"
"
30,31,8.06,Robby Anderson,WR,NYJ,75.9,6.3,5.12,8.11,359,"
"
31,32,8.07,Allen Robinson,WR,CHI,76.6,7.5,4.08,8.11,392,"
"
32,33,9.01,Emmanuel Sanders,WR,SF,80.6,7.6,4.03,9.03,373,"
"
33,34,9.02,Will Fuller,WR,HOU,81.6,7.0,5.10,9.03,311,"
"
34,35,9.08,Curtis Samuel,WR,CAR,88.0,7.0,6.02,9.09,423,"
"
35,36,9.10,Christian Kirk,WR,ARI,89.9,7.9,6.01,10.03,373,"
"
36,37,10.02,Sterling Shepard,WR,NYG,92.2,7.8,5.02,9.12,331,"
"
37,38,10.06,Sammy Watkins,WR,KC,96.1,8.0,6.03,10.05,322,"
"
38,39,10.09,Geronimo Allison,WR,GB,98.7,8.2,6.08,10.05,315,"
"
39,40,11.01,Marquez Valdes-Scantling,WR,GB,100.6,8.6,6.12,11.03,341,"
"
40,41,11.01,James Washington,WR,PIT,101.3,8.3,6.10,10.11,330,"
"
41,42,11.05,Marvin Jones,WR,DET,105.3,7.6,7.05,11.01,239,"
"
42,43,11.07,Larry Fitzgerald,WR,ARI,106.5,9.5,6.06,11.08,222,"
"
43,44,11.10,Dante Pettis,WR,SF,109.8,9.5,4.09,11.07,236,"
"
44,45,12.01,Corey Davis,WR,TEN,110.8,8.2,7.12,11.08,234,"
"
45,46,12.04,Michael Gallup,WR,DAL,113.8,8.4,6.11,11.10,281,"
"
46,47,12.09,DeSean Jackson,WR,PHI,119.4,9.5,7.01,12.06,181,"
"
47,48,12.10,Donte Moncrief,WR,CAR,119.8,10.2,6.10,12.08,211,"
"
48,49,13.03,Golden Tate,WR,NYG,123.3,10.1,7.04,13.01,189,"
"
49,50,13.06,Courtland Sutton,WR,DEN,126.2,11.8,3.01,13.04,151,"
"
50,51,13.09,Jamison Crowder,WR,NYJ,128.8,10.0,7.01,13.06,184,"
"
51,52,14.01,Tyrell Williams,WR,LV,131.4,9.0,9.11,13.07,144,"
"
52,53,14.02,D.K. Metcalf,WR,SEA,131.8,14.1,2.03,13.04,125,"
"
