,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.08,Travis Kelce,TE,KC,8.2,2.1,1.02,2.03,1052,"
"
1,2,2.09,Darren Waller,TE,LV,21.5,3.3,1.05,3.06,1286,"
"
2,3,3.04,George Kittle,TE,SF,28.5,3.6,1.11,4.05,1097,"
"
3,4,4.04,Kyle Pitts,TE,ATL,40.3,5.3,2.10,5.08,937,"
"
4,5,5.05,Mark Andrews,TE,BAL,52.8,5.9,3.02,6.08,958,"
"
5,6,5.07,T.J. Hockenson,TE,DET,55.4,4.8,3.12,6.10,626,"
"
6,7,6.12,Logan Thomas,TE,WAS,72.2,6.8,3.09,10.08,732,"
"
7,8,7.07,Noah Fant,TE,DEN,79.2,7.8,5.04,9.04,328,"
"
8,9,8.03,Robert Tonyan Jr.,TE,GB,87.2,11.5,4.02,11.04,712,"
"
9,10,8.10,Dallas Goedert,TE,PHI,93.9,10.1,4.05,11.04,388,"
"
10,11,8.12,Tyler Higbee,TE,LAR,95.8,9.7,5.12,11.09,831,"
"
11,12,10.06,Mike Gesicki,TE,MIA,114.3,16.4,5.07,14.06,792,"
"
12,13,10.12,Irv Smith Jr.,TE,MIN,120.3,16.2,7.07,15.04,202,"
"
13,14,11.11,Jonnu Smith,TE,NE,130.7,15.6,7.03,15.09,770,"
"
14,15,12.11,Rob Gronkowski,TE,TB,142.8,22.8,6.01,16.05,586,"
"
15,16,13.06,Hunter Henry,TE,NE,149.7,22.3,7.12,16.09,332,"
"
16,17,13.07,Evan Engram,TE,NYG,150.9,24.2,6.06,17.08,181,"
"
17,18,13.08,Adam Trautman,TE,NO,151.9,20.2,6.12,17.02,78,"
"
18,19,13.11,Jared Cook,TE,LAC,155.0,19.2,7.08,18.06,70,"
"
19,20,14.01,Gerald Everett,TE,SEA,156.6,18.5,9.12,17.09,240,"
"
20,21,14.01,Zach Ertz,TE,ARI,157.1,28.8,7.04,18.06,79,"
"
21,22,14.01,Pat Freiermuth,TE,PIT,157.3,23.8,7.12,18.06,116,"
"
